timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736528071817,18383,Login,200,OK,Thread Group 1-22,text,false,"The operation lasted too long: It took 18,383 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4924,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,18383,0,2027
1736528084526,5980,Validate,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 5,980 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6947,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4207,0,0
1736528084526,4207,Validate-0,302,Found,Thread Group 1-7,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,4207,0,0
1736528088734,1772,Validate-1,200,OK,Thread Group 1-7,text,true,,4991,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1772,0,0
1736528089819,814,Validate,200,OK,Thread Group 1-17,text,true,,6947,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,394,0,0
1736528089819,394,Validate-0,302,Found,Thread Group 1-17,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,394,0,0
1736528090213,420,Validate-1,200,OK,Thread Group 1-17,text,true,,4991,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,420,0,0
1736528091762,786,Validate,200,OK,Thread Group 1-20,text,true,,6923,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,381,0,0
1736528091762,381,Validate-0,302,Found,Thread Group 1-20,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,381,0,0
1736528092143,405,Validate-1,200,OK,Thread Group 1-20,text,true,,4967,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,405,0,0
1736528090843,1705,Validate,200,OK,Thread Group 1-26,text,true,,6939,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,383,0,0
1736528090843,383,Validate-0,302,Found,Thread Group 1-26,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,383,0,0
1736528091226,1322,Validate-1,200,OK,Thread Group 1-26,text,true,,4983,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1322,0,0
1736528090472,2791,Validate,200,OK,Thread Group 1-14,text,true,,6942,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,785,0,0
1736528090472,785,Validate-0,302,Found,Thread Group 1-14,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,785,0,0
1736528091258,2005,Validate-1,200,OK,Thread Group 1-14,text,true,,4986,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2005,0,0
1736528087345,5926,Validate,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 5,926 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6944,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4791,0,0
1736528087345,4792,Validate-0,302,Found,Thread Group 1-12,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,4791,0,0
1736528092137,1134,Validate-1,200,OK,Thread Group 1-12,text,true,,4988,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1134,0,0
1736528091451,2040,Validate,200,OK,Thread Group 1-11,text,true,,6939,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,399,0,0
1736528091451,399,Validate-0,302,Found,Thread Group 1-11,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,399,0,0
1736528091851,1640,Validate-1,200,OK,Thread Group 1-11,text,true,,4983,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1639,0,0
1736528093925,858,Validate,200,OK,Thread Group 1-29,text,true,,6924,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,456,0,0
